               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11743,            0.015975,             0.04019,           0.0010326,             0.11866,           0.0062147,          0.00073087,             0.10088,            0.019882,             0.03447,              0.0838,              0.0018,              0.0018
                   1,            0.092022,            0.019008,             0.03722,           0.0050176,             0.49665,            0.011988,           0.0027498,            0.080412,            0.021866,            0.034277,            0.066688,           0.0036878,           0.0036878
                   2,            0.074444,            0.019107,            0.034804,           0.0087701,             0.75136,              0.1552,            0.041411,            0.074658,            0.018544,            0.030716,            0.049563,            0.005563,            0.005563
                   3,            0.067353,            0.018969,            0.033629,           0.0090748,              0.8486,             0.12624,            0.047223,            0.071456,            0.017145,            0.029137,            0.032426,           0.0074258,           0.0074258
                   4,            0.064551,            0.017771,            0.033685,             0.48026,             0.14414,             0.23964,            0.073893,            0.061998,            0.018616,            0.028697,            0.015276,           0.0092759,           0.0092759
                   5,            0.057605,            0.016637,            0.032763,              0.2237,             0.25847,             0.28215,            0.077481,            0.061244,            0.016165,            0.027342,            0.009835,            0.009835,            0.009835
                   6,            0.057862,            0.016779,            0.031528,             0.19007,              0.2092,             0.25717,             0.12335,            0.065542,            0.013819,            0.025834,            0.009835,            0.009835,            0.009835
                   7,            0.052664,             0.01521,            0.032462,             0.25523,             0.44604,             0.35282,             0.12554,            0.054829,            0.015895,            0.025143,            0.009802,            0.009802,            0.009802
                   8,            0.047179,            0.014233,            0.032418,             0.30457,             0.59292,             0.39449,             0.13159,            0.050616,            0.015903,            0.026814,            0.009769,            0.009769,            0.009769
                   9,            0.045251,            0.014552,            0.032554,             0.29438,              0.5543,             0.37694,             0.13009,            0.049425,            0.015142,            0.025337,            0.009736,            0.009736,            0.009736
                  10,            0.044212,            0.012816,            0.030281,              0.3696,              0.6038,             0.46894,             0.25685,            0.040031,            0.013563,            0.025905,            0.009703,            0.009703,            0.009703
                  11,            0.044715,            0.012049,            0.031039,             0.41451,             0.67103,             0.49284,             0.23641,            0.042353,            0.013743,            0.024643,             0.00967,             0.00967,             0.00967
                  12,            0.042318,            0.011359,            0.030527,             0.40183,             0.60174,             0.46973,             0.20877,            0.043132,             0.01372,            0.023806,            0.009637,            0.009637,            0.009637
                  13,            0.038962,            0.011146,            0.029383,              0.3707,             0.75492,             0.52149,             0.21111,            0.038043,            0.012134,            0.023074,            0.009604,            0.009604,            0.009604
                  14,            0.038797,           0.0095778,            0.029156,             0.38426,             0.66562,             0.50322,             0.25458,             0.04538,             0.01038,             0.02168,            0.009571,            0.009571,            0.009571
                  15,            0.041166,           0.0090485,            0.027823,             0.45481,             0.66178,             0.54995,             0.27052,            0.037285,            0.010982,            0.021384,            0.009538,            0.009538,            0.009538
                  16,            0.037967,            0.008985,            0.027606,             0.40478,             0.71261,             0.53615,             0.30535,            0.035763,            0.011063,            0.021071,            0.009505,            0.009505,            0.009505
                  17,            0.038616,           0.0085333,            0.024993,             0.42155,             0.60497,             0.53041,             0.28422,            0.039494,            0.010794,            0.019739,            0.009472,            0.009472,            0.009472
