               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11743,            0.015975,             0.04019,           0.0010326,             0.11866,           0.0062147,          0.00073087,             0.10088,            0.019882,             0.03447,              0.0838,              0.0018,              0.0018
                   1,            0.092393,            0.019003,            0.037196,           0.0049049,             0.49562,             0.01402,           0.0027819,            0.084126,            0.021299,            0.033089,            0.066676,           0.0036756,           0.0036756
                   2,            0.073327,            0.019378,            0.034788,           0.0070461,             0.60916,             0.02595,           0.0079466,            0.090572,            0.018033,            0.031847,            0.049526,           0.0055261,           0.0055261
                   3,             0.06896,            0.018878,            0.033709,            0.010812,             0.88511,             0.16829,            0.076081,            0.068552,            0.018133,            0.028933,            0.032352,           0.0073515,           0.0073515
                   4,            0.063746,            0.018114,            0.033659,             0.55677,             0.10997,             0.23475,            0.062984,            0.060575,            0.018939,            0.027729,            0.015152,           0.0091518,           0.0091518
                   5,            0.058977,            0.016909,            0.032717,             0.83249,              0.1128,             0.23325,              0.1042,            0.067527,            0.015364,            0.028899,             0.00967,             0.00967,             0.00967
                   6,            0.055551,            0.017511,            0.031628,             0.40734,              0.3049,             0.34938,            0.099162,            0.056593,            0.017763,            0.025956,             0.00967,             0.00967,             0.00967
                   7,            0.052497,            0.015372,            0.031971,             0.35306,             0.37266,             0.35631,             0.15906,            0.061027,            0.015538,            0.026182,            0.009604,            0.009604,            0.009604
                   8,             0.04704,            0.014564,            0.032285,             0.27714,             0.46827,             0.34558,             0.20189,            0.055638,            0.015017,            0.026432,            0.009538,            0.009538,            0.009538
                   9,            0.045799,            0.014592,            0.032435,             0.37548,             0.54605,             0.39948,             0.17146,            0.047959,            0.014729,            0.026358,            0.009472,            0.009472,            0.009472
                  10,            0.046188,            0.012449,            0.030454,             0.27789,             0.60515,             0.40682,             0.15833,            0.051242,            0.014612,            0.025312,            0.009406,            0.009406,            0.009406
                  11,            0.042781,             0.01262,            0.031069,             0.22321,             0.59604,             0.36005,             0.14849,            0.049983,            0.012931,            0.024727,             0.00934,             0.00934,             0.00934
                  12,            0.040467,            0.011734,            0.031281,             0.29692,             0.60118,             0.38529,             0.22303,            0.043529,            0.012794,            0.024905,            0.009274,            0.009274,            0.009274
                  13,            0.040041,            0.011217,            0.029875,             0.29998,             0.71668,             0.44581,             0.24917,             0.03825,            0.012627,            0.023515,            0.009208,            0.009208,            0.009208
                  14,            0.037177,           0.0099005,            0.029534,             0.38855,             0.69455,             0.50981,             0.26417,            0.042646,            0.011669,            0.021866,            0.009142,            0.009142,            0.009142
                  15,            0.038792,           0.0090434,            0.027345,             0.41231,             0.61388,             0.49693,             0.27715,            0.042109,            0.011445,            0.020516,            0.009076,            0.009076,            0.009076
                  16,            0.038864,           0.0088908,            0.026723,             0.40965,             0.61388,             0.47594,             0.26288,            0.041311,            0.012008,            0.021115,             0.00901,             0.00901,             0.00901
                  17,            0.038213,           0.0085823,            0.024718,             0.42874,             0.61365,              0.4885,             0.29495,            0.043346,            0.011483,            0.019719,            0.008944,            0.008944,            0.008944
                  18,            0.037171,            0.008324,            0.025766,             0.56474,             0.54241,             0.55765,             0.31545,            0.034171,            0.011381,            0.018876,            0.008878,            0.008878,            0.008878
                  19,            0.035934,           0.0082455,            0.023429,             0.50538,             0.69112,             0.58095,             0.37029,            0.035827,            0.010436,            0.018519,            0.008812,            0.008812,            0.008812
                  20,            0.034759,           0.0082415,            0.022449,              0.4244,             0.64643,             0.47289,             0.30619,            0.032008,            0.011215,            0.021039,            0.008746,            0.008746,            0.008746
                  21,            0.033836,           0.0077666,            0.020967,             0.48875,             0.69048,             0.62338,             0.31396,            0.042752,            0.009661,            0.017578,             0.00868,             0.00868,             0.00868
                  22,            0.033996,           0.0076646,            0.020722,             0.42247,             0.69655,             0.61877,             0.39038,            0.034255,           0.0095433,            0.019381,            0.008614,            0.008614,            0.008614
                  23,            0.035183,           0.0067636,            0.019049,             0.54049,              0.6663,             0.63955,             0.34227,            0.037064,           0.0094946,            0.018233,            0.008548,            0.008548,            0.008548
                  24,            0.034263,           0.0069589,            0.018812,             0.57484,             0.71415,             0.63573,             0.42119,            0.032169,           0.0092472,            0.020189,            0.008482,            0.008482,            0.008482
                  25,            0.032136,           0.0063162,            0.018121,             0.52507,             0.77066,             0.62647,             0.44306,            0.027498,           0.0090449,            0.019203,            0.008416,            0.008416,            0.008416
                  26,            0.032919,           0.0067538,            0.018738,             0.41295,             0.64585,             0.58217,             0.34727,            0.036001,           0.0093378,            0.022937,             0.00835,             0.00835,             0.00835
                  27,            0.032631,           0.0067492,            0.016999,             0.45647,             0.65776,             0.65336,             0.45009,            0.033079,           0.0090957,            0.019493,            0.008284,            0.008284,            0.008284
                  28,            0.031892,            0.006401,            0.019042,             0.41453,             0.74197,             0.62618,             0.38307,            0.034098,           0.0090219,            0.019104,            0.008218,            0.008218,            0.008218
                  29,            0.030769,           0.0064477,            0.017971,             0.52028,             0.79534,             0.67743,             0.48944,            0.028323,           0.0086629,            0.017017,            0.008152,            0.008152,            0.008152
                  30,            0.027988,           0.0062498,            0.017845,             0.47328,             0.75283,             0.56085,             0.39383,            0.029454,           0.0087141,            0.019877,            0.008086,            0.008086,            0.008086
                  31,            0.030531,           0.0062593,            0.016512,             0.49497,             0.63545,             0.58641,             0.38944,            0.032414,           0.0085574,             0.01955,             0.00802,             0.00802,             0.00802
                  32,            0.030443,           0.0061461,            0.016446,             0.39135,              0.6889,             0.58357,             0.34404,             0.03291,           0.0081814,            0.025868,            0.007954,            0.007954,            0.007954
                  33,             0.03039,           0.0060435,            0.016107,             0.65917,             0.65268,             0.70719,             0.52062,            0.027609,           0.0078204,            0.017499,            0.007888,            0.007888,            0.007888
                  34,            0.028202,           0.0060964,            0.016432,             0.77163,             0.59364,             0.76457,             0.50619,            0.032058,           0.0079256,            0.017176,            0.007822,            0.007822,            0.007822
                  35,            0.029412,            0.005934,            0.015194,             0.78715,             0.63327,             0.74744,             0.47788,            0.029374,           0.0078869,            0.015686,            0.007756,            0.007756,            0.007756
                  36,            0.028488,           0.0062597,            0.015426,             0.74984,             0.66428,              0.7744,             0.48132,            0.030766,           0.0080311,            0.017711,             0.00769,             0.00769,             0.00769
                  37,            0.028508,           0.0059301,            0.014946,             0.76758,             0.71449,             0.75592,              0.4783,            0.032883,           0.0077862,            0.017296,            0.007624,            0.007624,            0.007624
                  38,            0.028071,           0.0056801,            0.014121,             0.77399,             0.62065,             0.72714,             0.52532,            0.029873,           0.0084568,            0.018767,            0.007558,            0.007558,            0.007558
                  39,            0.028614,           0.0062637,            0.012944,             0.75548,             0.61957,             0.72008,             0.42622,             0.02947,           0.0087806,            0.018134,            0.007492,            0.007492,            0.007492
