               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12242,            0.015528,            0.040782,                   0,                   0,                   0,                   0,             0.12072,            0.019334,            0.039926,              0.0919,              0.0009,              0.0009
                   1,             0.10492,            0.017913,            0.038208,           0.0042306,             0.44693,            0.054635,           0.0094859,            0.095197,             0.02678,            0.036722,            0.082887,           0.0018875,           0.0018875
                   2,            0.082507,             0.01919,             0.03549,           0.0072542,             0.72498,            0.068914,            0.012292,            0.077976,            0.031502,            0.034579,            0.073862,           0.0028617,           0.0028617
                   3,            0.067328,              0.0213,            0.033739,            0.010299,             0.96214,             0.27907,            0.076245,            0.069175,            0.030519,            0.033289,            0.064823,           0.0038228,           0.0038228
                   4,            0.058953,            0.019897,            0.034026,            0.011264,             0.96134,             0.24873,            0.089473,            0.058602,            0.029124,            0.032959,            0.055771,           0.0047706,           0.0047706
                   5,             0.05513,            0.018124,            0.032985,             0.25756,             0.11678,             0.26633,            0.067843,            0.065758,            0.024337,             0.03284,            0.046705,           0.0057053,           0.0057053
                   6,            0.055262,             0.01699,            0.032362,             0.45846,             0.23896,             0.37482,             0.17784,            0.068822,            0.023263,            0.032272,            0.037627,           0.0066268,           0.0066268
                   7,            0.053223,            0.015905,            0.031766,            0.066153,            0.063578,             0.16403,            0.052858,            0.064728,            0.023141,            0.031641,            0.028535,            0.007535,            0.007535
                   8,            0.056589,            0.015841,            0.032174,              0.3819,              0.2596,             0.24848,            0.098495,            0.073564,            0.019848,            0.031659,             0.01943,           0.0084301,           0.0084301
                   9,            0.053189,            0.015564,            0.032519,             0.24512,             0.33246,             0.33803,             0.10047,            0.054845,            0.022773,            0.031897,            0.010312,           0.0093119,           0.0093119
                  10,            0.049645,            0.014684,             0.03037,             0.23932,             0.31131,             0.32354,             0.17019,            0.066239,            0.018461,            0.032016,             0.00934,             0.00934,             0.00934
